"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","New Brunswick","2016A000213","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063709","5.1.2.6.1.1","151.9","","","","1"
"2024-04","New Brunswick","2016A000213","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063736","5.1.2.7.1.1","146.6","","","","1"
"2024-04","New Brunswick","2016A000213","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063610","5.1.3.2.1.1","45.2","","","","1"
"2024-04","New Brunswick","2016A000213","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063718","5.1.3.6.1.1","151.8","","","","1"
"2024-04","New Brunswick","2016A000213","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063745","5.1.3.7.1.1","157.9","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063602","5.2.2.2.1.1","30.6","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063710","5.2.2.6.1.1","135.5","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063737","5.2.2.7.1.1","55.7","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063611","5.2.3.2.1.1","30.3","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063719","5.2.3.6.1.1","130.4","","","","1"
"2024-04","New Brunswick","2016A000213","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063746","5.2.3.7.1.1","46.2","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063603","5.3.2.2.1.1","26.6","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063711","5.3.2.6.1.1","125.6","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063738","5.3.2.7.1.1","51.7","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063612","5.3.3.2.1.1","26.4","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063720","5.3.3.6.1.1","124.7","","","","1"
"2024-04","New Brunswick","2016A000213","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063747","5.3.3.7.1.1","43.6","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063606","5.6.2.2.1.1","4.0","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063714","5.6.2.6.1.1","9.9","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063741","5.6.2.7.1.1","3.9","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063615","5.6.3.2.1.1","3.9","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063723","5.6.3.6.1.1","5.7","","","","1"
"2024-04","New Brunswick","2016A000213","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063750","5.6.3.7.1.1","2.6","","","","1"
"2024-04","Quebec","2016A000224","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063790","6.1.2.2.1.1","498.7","","","","1"
"2024-04","Quebec","2016A000224","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063898","6.1.2.6.1.1","1734.5","","","","1"
"2024-04","Quebec","2016A000224","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063925","6.1.2.7.1.1","1465.1","","","","1"
"2024-04","Quebec","2016A000224","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063799","6.1.3.2.1.1","470.8","","","","1"
"2024-04","Quebec","2016A000224","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063907","6.1.3.6.1.1","1664.6","","","","1"
"2024-04","Quebec","2016A000224","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063934","6.1.3.7.1.1","1555.8","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063791","6.2.2.2.1.1","349.9","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063899","6.2.2.6.1.1","1587.8","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063926","6.2.2.7.1.1","584.6","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063800","6.2.3.2.1.1","330.0","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063908","6.2.3.6.1.1","1477.8","","","","1"
"2024-04","Quebec","2016A000224","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063935","6.2.3.7.1.1","447.6","","","","1"
"2024-04","Quebec","2016A000224","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063792","6.3.2.2.1.1","316.1","","","","1"
"2024-04","Quebec","2016A000224","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063900","6.3.2.6.1.1","1518.2","","","","1"
"2024-04","Quebec","2016A000224","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063927","6.3.2.7.1.1","561.2","","","","1"
"2024-04","Quebec","2016A000224","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063801","6.3.3.2.1.1","299.3","","","","1"
"2024-04","Quebec","2016A000224","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063909","6.3.3.6.1.1","1415.2","","","","1"
"2024-04","Quebec","2016A000224","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063936","6.3.3.7.1.1","424.4","","","","1"
"2024-04","Quebec","2016A000224","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063795","6.6.2.2.1.1","33.9","","","","1"
"2024-04","Quebec","2016A000224","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063903","6.6.2.6.1.1","69.5","","","","1"
"2024-04","Quebec","2016A000224","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063930","6.6.2.7.1.1","23.5","","","","1"
