"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Manitoba","2016A000246","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057738","8.3.1.1","12.6","","","","1"
"2024-05","Manitoba","2016A000246","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057739","8.4.1.1","6.3","","","","1"
"2024-05","Manitoba","2016A000246","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057740","8.5.1.1","6.1","","","","1"
"2024-05","Manitoba","2016A000246","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057741","8.6.1.1","54.0","","","","1"
"2024-05","Manitoba","2016A000246","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057742","8.7.1.1","71.6","","","","1"
"2024-05","Manitoba","2016A000246","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057744","8.9.1.1","100.6","","","","1"
"2024-05","Manitoba","2016A000246","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057745","8.10.1.1","48.8","","","","1"
"2024-05","Manitoba","2016A000246","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057746","8.11.1.1","46.9","","","","1"
"2024-05","Manitoba","2016A000246","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057747","8.12.1.1","35.7","","","","1"
"2024-05","Manitoba","2016A000246","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057748","8.13.1.1","18.9","","","","1"
"2024-05","Manitoba","2016A000246","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057749","8.14.1.1","62.7","","","","1"
"2024-05","Manitoba","2016A000246","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057750","8.15.1.1","112.7","","","","1"
"2024-05","Manitoba","2016A000246","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057751","8.16.1.1","27.0","","","","1"
"2024-05","Manitoba","2016A000246","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057752","8.17.1.1","32.8","","","","1"
