"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","13.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","12.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","9.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","8.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","10.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","14.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","15.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","10.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","11.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","6.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","12.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","10.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","8.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","7.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","9.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","13.8","","","","1"
